Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Ardbeg 1991 Old Malt Cask (Rum Finish)","16 yrs","1991","Ardbeg","Douglas Laing","$95","50","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Balvenie 25 Single Cask","25 yrs","1978","Balvenie","Balvenie","$285","46.9","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Four Roses 17y Single Barrel","17 yrs","N/A","Four Roses ","Four Roses ","$55","55.3","Kentucky","Specialty Stores","USA","American","Bourbon",
"Buffalo Trace Experimental 1993 Rediscovered Barrel","17 yrs","1993","Buffalo Trace","Buffalo Trace","$65","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Kaiapoi 13yr","13 yrs","N/A","Kaiapoi","Kaiapoi","$100","40","N/A","Overseas Specialty","New Zealand","World","Other",
"Clynelish 1972 Single Malts of Scotland","38 yrs","1972","Clynelish","Speciality Drinks Ltd","$235","42.1","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Caperdonich 1972 Duncan Taylor (cask 6735)","37 yrs","1972","Caperdonich","Duncan Taylor","$240","51.4","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenugie 1980 Signatory","16 yrs","1980","Glenugie","Signatory","N/A","43","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Bruichladdich Links K Club","14 yrs","N/A","Bruichladdich","Bruichladdich","$80","46","Islay","Wide","Scotland","Scotch","Single Malt",
"Tamdhu 1969 Peerless","34 yrs","1968","Tamdhu","Duncan Taylor ","N/A","40.1","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park 1993 McGibbon's Provenance","10 yrs","1993","Highland Park","Douglas Laing","$74","46","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 1996 Connoisseurs Choice","9 yrs","1996","Ardbeg","Gordon & MacPhail","$50","40","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Macallan 1991 Murray McDavid","16 yrs","1991","Macallan","Murray McDavid","$110","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenrothes 1987 Duncan Taylor Dimensions","24 yrs","1987","Glenrothes","Duncan Taylor","$135","54.8","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Old Forester (early 1980s)","4 yrs","N/A","Brown-Forman","Brown-Forman","N/A","43","Kentucky","Collectors Only","USA","American","Bourbon",
"Redemption Rye","2 yrs","N/A","Redemption","Bardstown","$27","46","Indiana","Better Stores","USA","American","Rye",
"Highland Park 12","12 yrs","N/A","Highland Park","Highland Park","$40","40","Island","Wide","Scotland","Scotch","Single Malt",
"Bladnoch 1992 Chieftain's K&L","18 yrs","1992","Bladnoch","Chieftain's","$90","55.3","Lowlands","Specialty Stores","Scotland","Scotch","Single Malt",
"Caol Ila 1980 Sovereign K&L","30 yrs","1980","Caol Ila","Sovereign","$200","55.8","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenfiddich "102" Distillery Edition","15 yrs","N/A","Glenfiddich","Glenfiddich","$56","51","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Michael Collins Blend","N/A","N/A","Buffalo Trace","Buffalo Trace","$28","40","Ireland","Wide","Ireland","Irish","Blend",
"Wild Turkey Kentucky Spirit","N/A","N/A","Wild Turkey","Wild Turkey","$30","50.5","Kentucky","Wide","USA","American","Bourbon",
"Port Ellen 1983 Old Malt Cask (Cask 6588)","27 yrs","1983","Port Ellen","Douglas Laing","$245","50","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Longrow 1973 Samaroli Fragments of Scotland","15 yrs","1973","Longmorn","Samaroli","N/A","50","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Balblair 1997","N/A","1997","Balblair","Balblair","$65","43","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Laphroaig 40 ","40 yrs","N/A","Laphroaig","Laphroaig","N/A","42.4","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Breaking & Entering Bourbon","N/A","N/A","St. George Spirits","St. George Spirits","$35","43","Kentucky","Specialty Stores","USA","American","Bourbon",
"Springbank 1969 Murray McDavid","28 yrs","1969","Springbank","Murray McDavid","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1972 Single Malts of Scotland","34 yrs","1972","Glen Grant","Speciality Drinks Ltd","N/A","54.9","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Compass Box Lady Luck","N/A","N/A","Compass Box","Compass Box","$166","46","N/A","Specialty Stores","Scotland","Scotch","Vatted Malt",
"Dufftown-Glenlivet 1979 Cadenhead's","16 yrs","1979","Dufftown-Glenlivet","Cadenhead","$110","57.8","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Bowmore 1969 Duncan Taylor","32 yrs","1969","Bowmore","Duncan Taylor","N/A","46.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Teaninich  1982 The Bottlers","21 yrs","1982","Teaninich","The Bottlers","N/A","62.3","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Longrow 10 100 proof","10 yrs","N/A","Longmorn","Longrow","$70","50","Campbeltown","Wide","Scotland","Scotch","Single Malt",
"Ardbeg 1977","21 yrs","1977","Ardbeg","Ardbeg","$360","46","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenlivet 1968 Lonach","37 yrs","1968","Glenlivet","Duncan Taylor","N/A","43.1","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Red Hook Rye Barrel 3 (LeNell's)","N/A","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","68.8","Kentucky","Collectors Only","USA","American","Rye",
"Glenfarclas 15","15 yrs","N/A","Glenfarclas","Glenfarclas","$65","46","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Ardbeg 1979 Spirit of Scotland","26 yrs","1979","Ardbeg","Gordon & MacPhail","N/A","54.8","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Tobermory 10 (Old)","10 yrs","N/A","Tobermory","Tobermory","$31","40","Island","Wide","Scotland","Scotch","Single Malt",
"Vintage Rye 23","23 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","47","Kentucky","Specialty Stores","USA","American","Rye",
"Buffalo Trace Single Oak Barrel 14","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Caol Ila 1992 The Whisky Agency "Moody Lions"","19 yrs","1992","Caol Ila","The Whisky Agency","$85","50.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"The Classic Cask 35","35 yrs","1964","N/A","Classic Cask","$250","43","N/A","Specialty Stores","Scotland","Scotch","Blend",
"Tobermory 10","10 yrs","N/A","Tobermory","Tobermory","$38","46.3","Island","Overseas Specialty","Scotland","Scotch","Single Malt",
"Talisker 25 (2005)","25 yrs","2005","Talisker","Talisker","$165","57.2","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Powers Gold Label","N/A","N/A","Irish Distillers","Irish Distillers","$15","40","Ireland","Wide","Ireland","Irish","Blend",
"Longrow 1974 25 Year","25 yrs","1974","Longmorn","Longrow","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1967 Gordon & Macphail","39 yrs","1967","Glen Grant","Gordon & MacPhail","$260","40","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Glenrothes 1980 Scott's Selection","25 yrs","1980","Glenrothes","Scott's Selection","$140","55.8","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Tullibardine 1976 Single Cask #3157","22 yrs","1976","Tullibardine","Tullibardine","$200","54.3","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bruichladdich Redder Still","22 yrs","1984","Bruichladdich","Bruichladdich","$270","50.4","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Port Ellen 1983 Old Malt Cask (Cask 6836)","27 yrs","1983","Port Ellen","Douglas Laing","$255","50","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bruichladdich 1998 Manzanilla Cask","16 yrs","1998","Bruichladdich","Bruichladdich","$90","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Amrut Cask Strength Single Malt (US Bottling)","N/A","N/A","Amrut","Amrut","$75","61.8","N/A","Specialty Stores","India","World","Other",
"Tamdhu 1989 Jewels of Scotland","13 yrs","1989","Tamdhu","Lombard","$90","50","Speyside","Wide","Scotland","Scotch","Single Malt",
"Parker's Heritage Collection Blend of Mashbills","11 yrs","2001","Heaven Hill","Heaven Hill","$80","65.8","Kentucky","Specialty Stores","USA","American","Bourbon",
"Port Ellen Seventh Release","28 yrs","1979","Port Ellen","Port Ellen","$300","53.8","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Dufftown-Glenlivet 1966 Cadenhead's","20 yrs","1966","Dufftown-Glenlivet","Cadenhead","N/A","46","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Longrow 18","18 yrs","N/A","Longmorn","Longrow","$240","46","Campbeltown","Specialty Stores","Scotland","Scotch","Single Malt",
"Ginkgo","N/A","N/A","Ginkgo","Number One Drinks Company","$80","46","Japan","Overseas Specialty","Japan","Japanese","Blend",
"Glen Grant 1964 Jewels of Scotland ","40 yrs","1964","Glen Grant","Lombard","$245","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Jameson 12","12 yrs","N/A","Jameson","Jameson","$35","40","Ireland","Wide","Ireland","Irish","Blend",
"Black Maple Hill 11","11 yrs","N/A","NDP","Kentucky Bourbon Distillers","N/A","47.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Imperial 12 James MacArthur (1990's)","12 yrs","N/A","The Imperial Distillery","James MacArthur","N/A","65","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Ardbeg Blasda","N/A","N/A","Ardbeg","Ardbeg","$68","40","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Springbank Cask Owner's Private Bottling","N/A","N/A","Springbank","Springbank","N/A","50","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Dewar's White Label","N/A","N/A","Dewar's","Dewar's","$21","40","N/A","Wide","Scotland","Scotch","Blend",
"Laphroaig 1993 Signatory","12 yrs","1993","Laphroaig","Signatory","$100","57","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 1978 Spirit of Scotland","22 yrs","1978","Ardbeg","Gordon & MacPhail","N/A","56.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfiddich 1976","31 yrs","1976","Glenfiddich","Glenfiddich","N/A","51.9","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Dufftown The Singleton of","12 yrs","N/A","Dufftown-Glenlivet","Dufftown","$41","40","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Tullibardine 1993","13 yrs","1993","Tullibardine","Tullibardine","$63","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Burns Nectar","N/A","N/A","Paisley Whisky","Cumbrae Supply Co.","N/A","40","N/A","Overseas Specialty","Scotland","Scotch","Vatted Malt",
"Laphroaig SMWS 29.60","17 yrs","1989","Laphroaig","The Scotch Malt Whisky Society","$120","59.1","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg Rollercoaster","NA yrs","N/A","Ardbeg","Ardbeg","$85","57.3","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Linlithgow 1982 Duncan Taylor ROR","21 yrs","1982","Linlithgow","Duncan Taylor ","$220","63.5","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Convalmore 31yo Cadenhead's","31 yrs","N/A","Convalmore","Cadenhead","$150","48.9","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Ardmore 1992 Whisky Doris Cask 4652","19 yrs","1992","Ardmore","Whisky Doris","$100","49.6","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Wild Turkey Rare Breed","N/A","N/A","Wild Turkey","Wild Turkey","$34","54.1","Kentucky","Wide","USA","American","Bourbon",
"Willett 20 yo Barrel 0328","20 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$190","46.3","Kentucky","Specialty Stores","USA","American","Bourbon",
"Yamazaki 1993 The Cask of","15 yrs","1993","Yamazaki","Yamazaki","$135","62","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Forty Creek Barrel Select","N/A","N/A","Kittling Ridge","Kittling Ridge","$21","40","Ontario","Better Stores","Canada","Canadian","Blend",
"Ardbeg 1974 G&M Connoisseurs Choice","19 yrs","1974","Ardbeg","Gordon & MacPhail","N/A","40","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Glenfiddich 21","21 yrs","N/A","Glenfiddich","Glenfiddich","$110","43","N/A","Better Stores","Scotland","Scotch","Single Malt",
"Willett 13 yo Barrel 3696 (The Party Source)","13 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$72","56.2","Kentucky","Specialty Stores","USA","American","Bourbon",
"Brora 1981 Signatory (Cask 1520)","26 yrs","1981","Brora","Signatory","$192","57.1","HIghland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Highland Park 1977 Scott's","21 yrs","1977","Highland Park","Scott's Selection","$200","52.9","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Bowmore 21 (circa 1996)","21 yrs","N/A","Bowmore","Bowmore","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Old Pulteney 8","8 yrs","N/A","Old Pulteney","Gordon & MacPhail","$60","40","HIghland","Specialty Stores","Scotland","Scotch","Single Malt",
"Wild Turkey 101 Rye","N/A","N/A","Wild Turkey","Wild Turkey","$18","50.5","Kentucky","Wide","USA","American","Rye",
"Laphroaig 2001/2008 "The Real McCoy"","7 yrs","2008","Laphroaig","Whisky Trails","$60","58.2","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Reisetbauer 7","7 yrs","N/A","Reisetbauer","Reisetbauer","$90","43","N/A","Overseas Specialty","Austria","World","Other",
"Kessler","N/A","N/A","Jim Beam","Jim Beam","$11","40","Kentucky","Wide","USA","American","Other",
"Tomatin 1982","28 yrs","1982","Tomatin","Tomatin","$500","57","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"cam","N/A","1974","Balmenach","Gordon & MacPhail","N/A","0","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Dalmore 15","15 yrs","N/A","Dalmore","Dalmore","$80","40","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Port Charlotte 2001 Bloodtub (Cask 38)","7 yrs","2001","Port Charlotte","Port Charlotte","N/A","46","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park 1975 Glenhaven","21 yrs","1975","Highland Park","Glenhaven","N/A","59.4","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen Tenth Release","31 yrs","1978","Port Ellen","Port Ellen","N/A","54.6","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Highland Park 1983 (Green's)","23 yrs","1983","Highland Park","Highland Park","$150","59.8","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Kavalan Solist Fino","N/A","N/A","Kavalan","Kavalan","$350","58.6","N/A","Overseas Specialty","Taiwan","World","Single Malt",
"Glenlivet 8 George & J.G. Smith's (1970's)","8 yrs","N/A","Glenlivet","Gordon & MacPhail","N/A","40","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Longrow Christmas 2005","10 yrs","N/A","Longmorn","Longrow","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Talisker Secret Stills 1.2","21 yrs","1986","Talisker","Gordon & MacPhail","$125","45","Highland","Overseas Specialty","Scotland","Scotch","Single Malt",
"Willett 12 yo Barrel 8062 (Grand Krewe)","12 yrs","1996","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","57.4","Kentucky","Collectors Only","USA","American","Bourbon",
"Talisker 1977 "Fiskavaig" Glenkeir Treasures","27 yrs","1977","Talisker","Douglas Laing","N/A","51.3","Island","Collectors Only","Scotland","Scotch","Single Malt",
"Glen Grant 1965 Signatory","40 yrs","1965","Glen Grant","Signatory","$370","56.8","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Royal Lochnager 1996 A.D. Rattray for BevMo","14 yrs","1996","Royal Lochnager","A.D. Rattray","$70","56.9","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Hakushu 1989 TWE 10th Anniversary","20 yrs","1989","Hakushu","Hakushu","$225","62","Japan","Overseas Specialty","Japan","Japanese","Single Malt",
"Heaven Hill 6 year old BIB","6 yrs","N/A","Heaven Hill","Heaven Hill","$9","50","Kentucky","Better Stores","USA","American","Bourbon",
"Evan Williams Single Barrel 2000","9 yrs","2000","Heaven Hill","Heaven Hill","$25","43.3","Kentucky","Better Stores","USA","American","Bourbon",
"Glenfiddich 30","30 yrs","N/A","Glenfiddich","Glenfiddich","$250","43","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Port Ellen 1978 (Rare Malts)","20 yrs","1978","Port Ellen","Port Ellen","N/A","60.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Dalmore 21","21 yrs","N/A","Dalmore","Dalmore","$135","43","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 88","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Bushmills 1608","N/A","N/A","Bushmill's","Bushmill's","$90","46","Ireland","Better Stores","Ireland","Irish","Blend",
"McKenzie Bourbon","N/A","N/A","Finger Lakes Distillery","Finger Lakes Distillery","$35","45.5","New York","Specialty Stores","USA","American","Bourbon",
"Bowmore Claret","N/A","N/A","Bowmore","Bowmore","N/A","56","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Knob Creek Rye","N/A","N/A","Jim Beam","Jim Beam","$38","50","Kentucky","Wide","USA","American","Rye",
"Port Ellen 1982 Old Bothwell (Cask 2044)","28 yrs","1982","Port Ellen","Old Bothwell","$220","57.5","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"William Larue Weller (2012)","12 yrs","2000","Buffalo Trace","Buffalo Trace","$80","61.7","Kentucky","Specialty Stores","USA","American","Bourbon",
"The Laddie 10","10 yrs","N/A","Bruichladdich","Bruichladdich","$55","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenugie 1981 Duncan Taylor ROR","22 yrs","1981","Glenugie","Duncan Taylor","$177","58","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Dalmore 12 (New Version)","12 yrs","N/A","Dalmore","Dalmore","$44","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Bowmore 1989 A.D. Rattray","23 yrs","1989","Bowmore","A.D. Rattray","$130","53.1","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Oban 14","14 yrs","N/A","Oban","Oban","$65","43","Highland","Wide","Scotland","Scotch","Single Malt",
"Lochside 1991 Connoisseurs Choice","15 yrs","1991","Lochside","Gordon & MacPhail","$70","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Longmorn 16","16 yrs","N/A","Longmorn","Longmorn","$85","48","Speyside","Wide","Scotland","Scotch","Single Malt",
"Dallas Dhu 1972 Connoisseurs Choice","N/A","1972","Dallas Dhu","Gordon & MacPhail","$185","40","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Glen Grant 10","10 yrs","N/A","Glen Grant","Glen Grant","$44","40","Speyside","Better Stores","Scotland","Scotch","Single Malt",
"Cragganmore 1999 SMWS 37.46","10 yrs","1999","Cragganmore","The Scotch Malt Whisky Society","$90","56","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Ballantine's","N/A","N/A","Ballantine's","Ballantine's","$14","40","N/A","Wide","Scotland","Scotch","Blend",
"Ardbeg Day Committee Release","NA yrs","N/A","Ardbeg","Ardbeg","$85","56.7","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Auchentoshan 12","12 yrs","N/A","Auchentoshan","Auchentoshan","$45","40","Lowland","Specialty Stores","Scotland","Scotch","Single Malt",
"Ardbeg 10","10 yrs","N/A","Ardbeg","Ardbeg","$45","46","Islay","Wide","Scotland","Scotch","Single Malt",
"Glendronach 12 Sherry Cask (1980s)","12 yrs","N/A","Glendarroch","Glendronach","$180","43","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Arran 2002 SMWS 121.38","7 yrs","2002","Arran","The Scotch Malt Whisky Society","$85","61.6","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Springbank Volume III Black Ceramic Book","12 yrs","N/A","Springbank","Springbank","N/A","43","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"Rathskeller Rye","23 yrs","1983","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","N/A","68","Kentucky","Collectors Only","USA","American","Rye",
"Springbank 12 (Green Thistle 1990s)","12 yrs","N/A","Springbank","Springbank","N/A","46","Campbeltown","Collectors Only","Scotland","Scotch","Single Malt",
"High West Silver Oat Whiskey Western Oat","N/A","N/A","High West","High West","$45","40","Utah","Wide","USA","American","Other",
"Glenfarclas 1965 "Speyside's Finest Distillery" DL Platinum","45 yrs","1965","Glenfarclas","Douglas Laing","N/A","52.7","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Cooley 2003 Cadenhead's","10 yrs","1993","Cooley","Cadenhead","N/A","59.3","Ireland","Collectors Only","Ireland","Irish","Single Malt",
"Old Fitzgerald Very Special 12","12 yrs","N/A","Heaven Hill","Heaven Hill","$30","45","Kentucky","Wide","USA","American","Bourbon",
"Caol Ila 1979 Mackillop's Choice","26 yrs","1979","Caol Ila","MacKillop's Choice","$210","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenfarclas 17 ","17 yrs","N/A","Glenfarclas","Glenfarclas","$95","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Caol Ila 1993 Nectar of the Daily Drams","18 yrs","1993","Caol Ila","Daily Dram","$100","51.8","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Black Maple Hill 21 Cask 5","21 yrs","N/A","NDP","Kentucky Bourbon Distillers","N/A","47.5","Kentucky","Collectors Only","USA","American","Bourbon",
"Evan Williams Single Barrel 1996","10 yrs","1996","Heaven Hill","Heaven Hill","N/A","43.3","Kentucky","Collectors Only","USA","American","Bourbon",
"Laphroaig 25 Cask Strength (2008 US Edition)","25 yrs","N/A","Laphroaig","Laphroaig","$450","51.2","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Joshua Brook 8","8 yrs","N/A","Frank-lin Distillers Products","Frank-lin Distillers Products","$15","45","Kentucky","Wide","USA","American","Bourbon",
"Glen Elgin 1985 The Bottlers","16 yrs","1985","Glen Elgin","The Bottlers","$130","56.7","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Bruichladdich Links Torrey Pines","15 yrs","N/A","Bruichladdich","Bruichladdich","$90","46","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Glenmorangie 10 'The Original'","10 yrs","N/A","Glenmorangie","Glenmorangie","$45","40","Highland","Wide","Scotland","Scotch","Single Malt",
"Linlithgow 1982 Scott's Selection","18 yrs","1982","Linlithgow","Scott's Selection","N/A","61.6","Lowland","Wide","Scotland","Scotch","Single Malt",
"Rosebank 1990 Old Malt Cask","19 yrs","1990","Rosebank","Douglas Laing","$85","50","Lowlands","Wide","Scotland","Scotch","Single Malt",
"Brora "Brorageddon" 1972 Old Malt Cask for PLOWED","30 yrs","1972","Brora","Douglas Laing","N/A","50.8","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Big Bottom Bourbon 3 yo","3 yrs","N/A","Big Bottom","Big Bottom","$28","45.5","Indiana","Better Stores","USA","American","Bourbon",
"Bowmore 21 (1972)","21 yrs","1972","Bowmore","Bowmore","N/A","43","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"Bunnahabhain 1974 Perfect Dram","34 yrs","1974","Bunnahabhain","Perfect Dram","$220","59.3","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Seagram's 7 Crown","N/A","N/A","N/A","Diageo","$13","40","N/A","Wide","USA","American","Blend",
"Aberlour A'Bunadh (Batch 15)","NA yrs","N/A","Aberlour","Aberlour","$65","59.1","Speyside","Wide","Scotland","Scotch","Single Malt",
"Edradour 30","30 yrs","N/A","Edradour","Edradour","$400","43","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Benrinnes 1985 The Bottlers","17 yrs","1985","Benrinnes","The Bottlers","$95","60.2","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Port Ellen 1982 Old Bothwell (Cask 2043)","28 yrs","1982","Port Ellen","Old Bothwell","$255","55.7","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Linkwood 1990 Murray McDavid","11 yrs","1990","Linkwood","Murray McDavid","$50","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Buffalo Trace Single Oak Barrel 131","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Prichard's Double Barreled","9 yrs","N/A","Prichard's","Prichard's","$60","45","Kentucky","Better Stores","USA","American","Bourbon",
"Glenallachie 1991 Signatory","9 yrs","1991","Glenallachie","Signatory","N/A","43","Speyside","Overseas Specialty","Scotland","Scotch","Single Malt",
"Ledaig 1990 Connoisseurs Choice","16 yrs","1990","Ledaig","Gordon & MacPhail","$50","40","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Balblair 1991","18 yrs","1991","Balblair","Balblair","$130","43","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Glen Keith SMWS 81.14","13 yrs","1994","Glen Keith","The Scotch Malt Whisky Society","$105","60.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Braes of Glenlivet 1974 Signatory","30 yrs","1974","Braes of Glenlivet","Signatory","N/A","57","Highland","Collectors Only","Scotland","Scotch","Single Malt",
"Ardmore Traditional Cask","N/A","N/A","Ardmore","Ardmore","$43","46","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"BenRiach 15 Tawny Port Finish","15 yrs","N/A","BenRiach","BenRiach","$90","46","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
"Highland Park 1977 Scott's Selection","21 yrs","1977","Highland Park","Scott's Selection","$200","55.6","Island","Specialty Stores","Scotland","Scotch","Single Malt",
"Loch Ness","N/A","N/A","Duncan Taylor","Duncan Taylor","$35","40","N/A","Overseas Wide","Scotland","Scotch","Single Malt",
"Glann Ar Mor","8 yrs","N/A","Glann-ar-Mor","Glann-ar-Mor","$90","46","N/A","Overseas Specialty","France","World","Other",
"Port Ellen 1978 Signatory (Butt 5265)","23 yrs","1978","Port Ellen","Signatory","N/A","60.9","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"New Holland Walleye Rye","N/A","N/A","New Holland","New Holland","$35","45","Michigan","Specialty Stores","USA","American","Rye",
"Macallan 18 (1988)","18 yrs","1988","Macallan","Macallan","$140","43","Speyside","Wide","Scotland","Scotch","Single Malt",
"Ardbeg 1975 Old Malt Cask","27 yrs","1975","Ardbeg","Douglas Laing","N/A","50","Islay","Collectors Only","Scotland","Scotch","Single Malt",
"BenRiach 1990 Single Malts of Scotland","18 yrs","1990","BenRiach","Speciality Drinks Ltd","N/A","55.7","Speyside","Collectors Only","Scotland","Scotch","Single Malt",
"Port Ellen 1979 Signatory (Butt 5537)","22 yrs","1979","Port Ellen","Signatory","$140","43","Islay","Specialty Stores","Scotland","Scotch","Single Malt",
"Balmenach 1999 SMWS 48.20","10 yrs","1999","Balmenach","The Scotch Malt Whisky Society","$90","60.5","Speyside","Specialty Stores","Scotland","Scotch","Single Malt",
