Name,Age,Vintage,Distillery,Bottler,Price,ABV,Region,Availability,Country,Type,Subtype
"Penderyn Sherrywood","NAS yrs","N/A","Penderyn","Penderyn","$70","46","N/A","Wide","Wales","World","Other",
"Glencadam 1979 Cadenhead's","17 yrs","1979","Glencadam","Cadenhead","$103","59","Highland","Specialty Stores","Scotland","Scotch","Single Malt",
"Rittenhouse Rye 23","23 yrs","N/A","Rittenhouse","Heaven Hill","$175","50","Kentucky","Specialty Stores","USA","American","Rye",
"Glenfarclas 30","30 yrs","N/A","Glenfarclas","Glenfarclas","$180","43","Speyside","Overseas Wide","Scotland","Scotch","Single Malt",
"Jura Superstition","N/A","N/A","Jura","Jura","$50","45","Highland","Wide","Scotland","Scotch","Single Malt",
"Four Roses Premium American Whiskey (1977)","N/A","N/A","Four Roses ","Four Roses ","$15","40","Maryland","Collectors Only","USA","American","Other",
"Buffalo Trace Single Oak Barrel 67","8 yrs","2003","Buffalo Trace","Buffalo Trace","$46","45","Kentucky","Specialty Stores","USA","American","Bourbon",
"Compass Box Oak Cross","N/A","N/A","Compass Box","Compass Box","$50","43","N/A","Wide","Scotland","Scotch","Vatted Malt",
"Dalmore Gran Reserva","N/A","N/A","Dalmore","Dalmore","$70","40","Highland","Better Stores","Scotland","Scotch","Single Malt",
"Bowmore 21 (1989) Silver Seal","21 yrs","1989","Bowmore","Silver Seal","$150","46","Islay","Overseas Specialty","Scotland","Scotch","Single Malt",
"Vintage Bourbon 23","23 yrs","N/A","Kentucky Bourbon Distillers","Kentucky Bourbon Distillers","$100","47","Kentucky","Better Stores","USA","American","Bourbon",
"Woodford Reserve Four Grain","N/A","N/A","Brown-Forman","Brown-Forman","$70","46.2","Kentucky","Better Stores","USA","American","Bourbon",
"St. Magdalene 1966 Connoisseurs Choice","29 yrs","1966","St. Magdalene","Gordon & MacPhail","N/A","40","Lowland","Collectors Only","Scotland","Scotch","Single Malt",
"Kentucky Vintage","8 yrs","1995","Kentucky Bourbon Distillers ","Kentucky Bourbon Distillers ","$40","45","Kentucky","Wide","USA","American","Bourbon",
